filename,day,object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of bkgrd,Probability of cystanoid,Diameter,Radii of the object_0,Radii of the object_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Size in pixels,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Center of the object_0,Center of the object_1,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2
ROCK_5_uM_01_table.csv,14,1,0,2,0,cystanoid,0.25,0.75,347.4041,71.89996,53.810925,237.0,227.0,210.0,44633.0,100.592026,86.481705,81.146324,576.0057,284.60568,54.0,45.0,26.0,726.0,398.0,435.0,171.0,935.57855,764.46344,818.5734
ROCK_5_uM_01_table.csv,14,2,0,3,0,bkgrd,1.0,0.0,46.55635,9.652627,6.5750875,199.0,185.0,181.0,751.0,136.90546,119.628494,115.502,361.39282,434.46872,72.0,65.0,50.0,379.0,450.0,344.0,420.0,667.46246,581.1336,543.16614
ROCK_5_uM_02_table.csv,14,0,0,1,0,cystanoid,0.12,0.88,268.70563,46.946144,40.27797,225.0,214.0,202.0,21282.0,101.65614,88.7527,82.83615,532.8907,268.89114,48.0,42.0,27.0,621.0,366.0,446.0,176.0,661.5441,558.1966,620.3138
ROCK_5_uM_03_table.csv,14,0,0,1,0,cystanoid,0.12,0.88,903.3768,185.64984,107.64813,255.0,253.0,224.0,231375.0,118.90439,105.20085,98.6183,454.8984,327.88513,53.0,45.0,12.0,805.0,547.0,80.0,95.0,814.841,716.1638,810.5271
ROCK_5_uM_04_table.csv,14,0,0,1,0,cystanoid,0.2,0.8,519.8011,96.909325,90.61641,211.0,198.0,185.0,71775.0,122.64674,109.40592,103.97533,501.02478,238.0922,55.0,47.0,32.0,685.0,424.0,339.0,68.0,500.4068,416.0186,397.67007
ROCK_5_uM_04_table.csv,14,1,0,2,0,bkgrd,0.84,0.16,4.4142137,44.127556,8.849457,184.0,160.0,176.0,4564.0,104.464066,89.37138,83.125984,907.9505,698.7147,48.0,43.0,21.0,961.0,768.0,858.0,622.0,862.10455,631.7492,763.6666
ROCK_5_uM_05_table.csv,14,0,0,1,0,cystanoid,0.16,0.84,501.23254,98.7086,94.86154,215.0,192.0,188.0,116160.0,115.458046,103.19504,98.28974,453.71295,425.04602,48.0,49.0,30.0,684.0,619.0,259.0,237.0,456.033,419.56964,512.06116
ROCK_5_uM_06_table.csv,14,0,0,1,0,cystanoid,0.17,0.83,665.35236,136.1812,100.055626,225.0,208.0,212.0,131433.0,116.497765,104.25003,99.01108,527.8615,387.76993,50.0,46.0,20.0,776.0,630.0,277.0,133.0,706.0175,626.9689,695.5479
ROCK_5_uM_07_table.csv,14,0,0,1,0,cystanoid,0.19,0.81,788.9625,122.89852,116.629944,238.0,212.0,209.0,167056.0,127.97287,116.60402,112.58438,382.95474,404.9969,49.0,51.0,26.0,623.0,654.0,141.0,175.0,431.07144,375.59802,438.0011
ROCK_10_uM_01_table.csv,14,0,0,1,0,cystanoid,0.1,0.9,854.58997,144.45233,128.01163,255.0,246.0,236.0,152431.0,118.07132,100.94257,85.25804,663.07886,378.48172,56.0,51.0,11.0,931.0,619.0,322.0,111.0,1157.9331,980.2612,939.4653
